OCLC,TITLE,AUTHORS,PUB_DATE,PUBLISHER,GENRE,SUMMARY,FORMAT,RECORD #(BIBLIO),CALL #(BIBLIO),LANG,LOCATION,SUBJECT
822876943,Watashi to odotte,Riku Onda,2012,Shinchōsha,Short stories ,,20 cm,b38451414,PL874.N33 W38 2012,jpn,haxx0,Short stories
1316014,Christianity and communism.,John C Bennett,1948,Association Press,,,20 cm.,b38630965,HX536 .B439,eng,phxx0,Communism and Christianity
702923491,Manifesto of the Communist Party,"Friedrich Engels,  Karl Marx",1969 1948,International Publishers,,,20 cm,b38630977,HX276 .M3,eng,phxx0,"Communism;""Socialism"""
42953050,The Gramsci reader,"David Forgacs,  Antonio Gramsci",2000,New York University Press,,,22 cm.,b38630989,HX289.7.G73 A25 2000,eng,phxx0,"Communism;""Communism -- Italy"""
271434,The origin of Russian communism.,Nikolai\\xcc\\x86 Berdi\\xef\\xb8\\xa0a\\xef\\xb8\\xa1ev,1960,University of Michigan Press,,,21 cm.,b38630990,HX312 .B42,eng,phxx0,"Communism -- Soviet Union;""Philosophy, Russian"";""Soviet Union -- Religion"";""Communism and religion"""
28021881,Sandino's daughters revisited,Margaret Randall,1994,Rutgers University Press,Interviews   History ,,25 cm,b38631003,HX546 .R35,eng,phxx0,"Women and socialism -- Nicaragua;""Women -- Nicaragua -- Interviews"";""Feminism -- Nicaragua"";""Nicaragua -- History -- 1979-1990"";""Frente Sandinista de Liberación Nacional"""
32396348,Sandino's daughters,Margaret Randall,1995,Rutgers University Press,Interviews ,"First published in 1981 in the wake of the Sandinista National Liberation Front (FSLN, revolution in Nicaragua  Sandinos Daughters can now be seen not as a triumph of revolutionary ideals  but as a triumph of the spirit  Through a series of interviews with participants at all levels in the resistance  Margaret Randall recounts the lives of ordinary women who became pillars of strength and perseverance during their decades-long involvement in the Sandinista struggle against the Somoza dictatorship  Believing firmly that womens liberation was inextricably linked with national liberation  many of these women were in the vanguard of the movement inspired by Augusto Sandino  At the peak of revolutionary activity  women from all classes and backgrounds comprised 30 percent of the Sandinista army  For many of these women  politics became one with the personal  Hindsight perhaps offers the greatest irony of the womens alliance with the FSLN in the fact that it was a woman  Violeta Chamorro  who challenged and defeated the Sandinistas in the free elections of 1990  Though lured by the revolutionary quixotism of a promise that lasted slightly more than a decade  the women of Sandinos Daughters will stand as a monument to all those who yearn to be free ",22 cm,b38631015,HX546 .R36 1995,eng,phxx0,"Women and socialism -- Nicaragua;""Women soldiers -- Nicaragua -- Interviews"";""Frente Sandinista de Liberación Nacional"""
31134300,Engendering the Chinese revolution,Christina K Gilmartin,1995,University of California Press,History ,Christina Kelley Gilmartin rewrites the history of gender politics in the 1920s with this compelling assessment of the impact of feminist ideals on the Chinese Communist Party during its formative years  For the first time  Gilmartin reveals the extent to which revolutionaries in the 1920s were committed to womens emancipation and the radical political efforts that were made to overcome womens subordination and to transform gender relations  Women activists whose experiences and achievements have been previously ignored are brought to life in this study  which illustrates how the Party functioned not only as a political organization but as a subculture for women as well  We learn about the intersection of the personal and political lives of male communists and how this affected their beliefs about womens emancipation  Gilmartin depicts with thorough and incisive scholarship how the Party formulated an ideological challenge to traditional gender relations while it also preserved aspects of those relationships in its organization ,24 cm.,b38631027,HX546 .G54 1995,eng,phxx0,"Women and socialism -- China;""Communism -- China -- History"";""China -- History -- 1912-1928"""
37024985,Utopia,Thomas MoreSaint ,1997,Dover Publications,Early works ,Sixteenth-century classic by brilliant humanist  churchman and scholar envisioned a patriarchal island kingdom that practiced religious tolerance  in which everybody worked  all goods were community-owned  and violence  bloodshed and vice were nonexistent  Forerunner of many later attempts at establishing \Utopias\ both in theory and in practice--Publisher\s description ,19 cm.,b38631039,HX810.5 .E54 1997,eng,phxx0,Utopias -- Early works to 1800
4306555,Utopia,"Thomas MoreSaint ,  Paul Turner",1965,Penguin Books,,A collection representing the entire range of Mores writing ,18 cm.,b38631040,HX810.5 .M54 1965,eng,phxx0,Utopias
6626108,La città del sole,"Tommaso Campanella,  Daniel John Donno",1981,University of California Press,Utopian fiction   Early works ,,21 cm.,b38631052,HX811 1623 .E980,eng,phxx0,Utopias -- Early works to 1800
839639,The anarchists,James Joll,1966 1964,Grosset &amp; Dunlap,History ,,21 cm.,b38631064,HX828 .J6 1966,eng,phxx0,"Anarchism -- History;""Anarchists"""
192839,God and the state,Mikhail Aleksandrovich Bakunin,1970,Dover Publications,Controversial literature ,,20 cm,b38631076,HX833 .B313,eng,phxx0,"Anarchism;""Anarchists"";""Christianity -- Controversial literature"""
266516,The romantic exiles,"  Herwegh  Georg ,  Edward Hallett Carr,  Herzen  Aleksandr ,  Ogarev  N  P ",1961,Beacon Press,,,22 cm.,b38631088,HX914 .C3 1961,eng,phxx0,"880-01 Herzen, Aleksandr, 1812-1870;""Herwegh, Georg, 1817-1875"";""880-02 Ogarev, N. P. (Nikolaĭ Platonovich), 1813-1877"";""Anarchists -- Russia"""
5928655,Bakunin on anarchy,"Mikhail Aleksandrovich Bakunin,  Sam Dolgoff",1972 1971,Vintage Books,,,19 cm,b3863109x,HX914.7.B34 A25,eng,phxx0,Anarchism
38277656,The Spanish anarchists,Murray Bookchin,1998,AK Press,History ,,23 cm,b38631106,HX925 .B66,eng,phxx0,"Anarchism -- Spain -- History;""Anarchists -- Spain -- History"""
24430374,The autobiography of Ōsugi Sakae,"  Sakae O\\xcc\\x84sugi,  O\\xcc\\x84sugi  Sakae ",1992,University of California Press,Biography ,,24 cm.,b38631118,HX947.Z67 O76413 1992,eng,phxx0,"Ōsugi, Sakae, 1885-1923;""Anarchists -- Japan -- Biography"""
31371753,A discourse by three drunkards on government,"Cho\\xcc\\x84min Nakae,  Jeffrey Hammond,  Nobuko Tsukui",1992 1984,Weatherhill,,,21 cm.,b3863112x,JA69.J3 N319513,eng,phxx0,Political science
6227319,"Proceedings in Parliament, 1610",Elizabeth Read Foster,1966,Yale University Press,,,24 cm.,b38631131,J301 .H317,eng,phxx0,Great Britain -- Politics and government -- 1603-1625
37929314,The Amarna age,Frederick John Giles,1997,Aris &amp; Phillips,Sources   History ,,21 cm.,b38630047,DT73.T25 G55 1997,eng,hxxx0,"Tell el-Amarna (Egypt) -- Antiquities;""Middle East -- Antiquities"";""Egypt -- History -- Eighteenth dynasty, ca. 1570-1320 B.C. -- Sources"""
6227319,"Proceedings in Parliament, 1610",Elizabeth Read Foster,1966,Yale University Press,,,24 cm.,b38631131,J301 .H317,eng,phxx0,Great Britain -- Politics and government -- 1603-1625
498396,Political thought in perspective.,William Ebenstein,1957,McGraw-Hill,History ,,24 cm.,b38631143,JA81 .E22 1957,eng,phxx0,Political science -- History
977452,A history of political theory,George Holland Sabine,1937,H. Holt and Company,History ,,22 cm.,b38631155,JA81 .S3 1937,eng,phxx0,Political science -- History
3844269,The foundations of modern political thought,Quentin Skinner,1978,Cambridge University Press,History ,A two-volume study of political thought from the late thirteenth to the end of the sixteenth century  the decisive period of transition from medieval to modern political theory  The work is intended to be both an introduction to the period for students  and a presentation and justification of a particular approach to the interpretation of historical texts  Volume One deals with the Renaissance  Volume Two with the Age of Reformation  Quentin Skinner gives an outline account of all the principal texts of the period  discussing in turn the chief political writings of Dante  Marsiglio  Bartolus  Machiavelli  Erasmus and more  Luther and Calvin  Bodin and the Calvinist revolutionaries  But he also examines a very large number of lesser writers in order to explain the general social and intellectual context in which these leading theorists worked  He thus presents the history not as a procession of classic texts but are more readily intelligible  He traces by this means the gradual emergence of the vocabulary of modern political thought  and in particular the crucial concept of the State  -- Publisher description ,24 cm,b38631167,JA81 .S54,eng,phxx0,Political science -- History
3844269,The foundations of modern political thought,Quentin Skinner,1978,Cambridge University Press,History ,A two-volume study of political thought from the late thirteenth to the end of the sixteenth century  the decisive period of transition from medieval to modern political theory  The work is intended to be both an introduction to the period for students  and a presentation and justification of a particular approach to the interpretation of historical texts  Volume One deals with the Renaissance  Volume Two with the Age of Reformation  Quentin Skinner gives an outline account of all the principal texts of the period  discussing in turn the chief political writings of Dante  Marsiglio  Bartolus  Machiavelli  Erasmus and more  Luther and Calvin  Bodin and the Calvinist revolutionaries  But he also examines a very large number of lesser writers in order to explain the general social and intellectual context in which these leading theorists worked  He thus presents the history not as a procession of classic texts but are more readily intelligible  He traces by this means the gradual emergence of the vocabulary of modern political thought  and in particular the crucial concept of the State  -- Publisher description ,24 cm,b38631167,JA81 .S54,eng,phxx0,Political science -- History
15629416,The Cambridge history of medieval political thought c. 350-c. 1450,J  H Burns,1988,Cambridge University Press,History ,This volume offers a comprehensive and authoritative account of the history of a complex and varied body of ideas over a period of more than one thousand years  A work of both synthesis and assessment  The Cambridge History of Medieval Political Thought presents the results of several decades of critical scholarship in the field  and reflects in its breadth of enquiry precisely that diversity of focus that characterized the medieval sense of the political  preoccupied with universality at some levels  and with almost minute particularity at others  Among the vital questions explored by the distinguished team of contributors are the nature of authority  of justice  of property; the problem of legitimacy  of allegiance  of resistance to the powers that be; the character and functions of law  and the role of custom in maintaining a social structure ,24 cm,b38631179,JA82 .C27 1988,eng,phxx0,"Political science -- History;""Philosophy, Medieval"""
26305065,Medieval political theory,"Cary J Nederman,  Kate Langdon Forhan",1993,Routledge,Early works   History ,,24 cm,b38631180,JA82 .U4 1993,eng,phxx0,"Political science -- Europe -- History;""Political science -- Early works to 1800"";""Philosophy, Medieval"""
24845797,The ideological origins of the American Revolution,Bernard Bailyn,1992,Belknap Press of Harvard University Press,History ,In this book  Bailyn discusses the intense  nation-wide debate on the ratification of the constitution  stressing the continuities between that struggle over the foundations of national government and the original principles of the revolution ,21 cm,b38631192,JA84.U5 B3,eng,phxx0,"Political science -- United States -- History;""United States -- History -- Revolution, 1775-1783"""
28634686,The founders and the classics,Carl J Richard,1994,Harvard University Press,History ,Is our Greek and Roman heritage merely allusive and illusory? Or were our founders  and so our republican beginnings  truly steeped in the stuff of antiquity? So far largely a matter of generalization and speculation  the influence of Greek and Roman authors on our American forefathers finally becomes clear in this fascinating book - the first comprehensive study of the founders\ classical reading  Carl J  Richard begins by examining how eighteenth-century social institutions in general and the educational system in particular conditioned the founders to venerate the classics  He then explores the founders\ various uses of classical symbolism  models  antimodels  mixed government theory; pastoralism  and philosophy  revealing in detail the formative influence exerted by the classics  both directly and through the mediation of Whig and American perspectives  In this analysis  we see how the classics not only supplied the principal basis for the U S  Constitution but also contributed to the founders\ conception of human nature  their understanding of virtue  and their sense of identity and purpose within a grand universal scheme  At the same time  we learn how the classics inspired obsessive fear of conspiracies against liberty  which poisoned relations between Federalists and Republicans  The shrewd ancients who molded Western civilization still have much to teach us  Richard suggests  His account of the critical role they played in shaping our nation and our lives provides a valuable lesson in the transcendent power of the classics ,24 cm,b38631209,JA84.U5 R48,eng,phxx0,"Political science -- United States -- History -- 18th century;""Political science -- Greece -- History"";""Political science -- Rome -- History"""
7210,"The creation of the American Republic, 1776-1787",Gordon S Wood,1969,"Published for the Institute of Early American History and Culture at Williamsburg, Va., by the University of North Carolina Press",History ,,24 cm,b38631210,JA84.U5 W8,eng,phxx0,"Political science -- United States -- History;""Historia dos estados unidos. larpcal"""
21968030,Politics in the ancient world,M  I Finley,1984,Cambridge University Press,,,23 cm.,b38631222,JC51 .F55 1984,eng,phxx0,"Greece -- Politics and government;""Rome -- Politics and government"""
13665660,The lost soul of American politics,John P Diggins,1986 1984,University of Chicago Press,History ,,24 cm,b38631246,JA84.U5 D53 1986,eng,phxx0,"Liberalism -- United States -- History;""Materialism -- United States -- History"";""Political science -- United States -- History"";""United States -- Politics and government"""
2346721,The genteel populists,Simon Lazarus,1976 1974,McGraw-Hill,,,20 cm,b38631258,JA84.U5 L32 1976,eng,phxx0,"Liberalism -- United States;""Social reformers -- United States"";""United States -- Politics and government -- 20th century"";""Business and politics -- United States"""
12214284,Novus ordo seclorum,Forrest McDonald,1985,University Press of Kansas,History ,Chronicles the history of the Constitutional Convention and discusses how the Constitution was developed ,23 cm,b3863126x,JA84.U5 M43 1985,eng,phxx0,"Political science -- United States -- History -- 18th century;""United States. Constitutional Convention (1787)"""
23356022,Imagined communities,Benedict R  O\G \\\Anderson\\\,1991,Verso,History ,,25 cm,b38631271,JC311 .A656 1991,eng,phxx0,Nationalism -- History
10149168,The wise silence,"Caponigro  Paul ,  ,  Paul Caponigro,  Marianne Fulton",1983,New York Graphic Society Books in association with the International Museum of Photography at George Eastman House,Photography  Artistic ,,30 cm,b15148063,TR 654 C355 1983X,eng,"dsxx0,hxxx0","Photography, Artistic;""Caponigro, Paul, 1932-"""
33989307,Aristotle and Xenophon on democracy and oligarchy,  J  M Moore,1986 1975,University of California Press,,,23 cm,b38631295,JC71.A1 A74 1986,eng,phxx0,"Athens (Greece) -- Politics and government;""Sparta (Extinct city) -- Politics and government"";""Constitutional history -- Greece -- Athens"""
11812980,L'amour fou,"  Jane Livingston,  Rosalind E Krauss,  Dawn Ades",1985,"Abbeville Press, Corcoran Gallery of Art",Exhibition catalogs ,,31 cm,b14985081,TR 646 U6 W376 1985,eng,"dsxx0,hxxx0,hsxx0","Photography, Artistic -- Exhibitions;""Surrealism -- Exhibitions"""
8240156,The politics,"Aristotle ,  T  A Sinclair",1981,Penguin Books,Early works ,,18 cm.,b38631313,JC71.A41 S5 1981,eng,phxx0,Political science -- Early works to 1800
10515966,The Republic of Plato,"Francis Macdonald Cornford,  Plato ",1945,Oxford University Press,Early works ,A model for the ideal state includes discussion of the nature and application of justice  the role of the philosopher in society  the goals of education  and the effects of art upon character  Bibliogs ,21 cm,b38631325,JC71 .P35 1945,eng,phxx0,"Political science -- Early works to 1800;""Utopias -- Early works to 1800"";""Justice -- Early works to 1800"""
31659519,Nadar,"Maria Morris Hambourg,  Nadar  Fe\\xcc\\x81lix ,  Fe\\xcc\\x81lix Nadar,  Philippe Ne\\xcc\\x81agu,  Franc\\xcc\\xa7oise Heilbrun,  ",1995,"Distributed by H.N. Abrams, Metropolitan Museum of Art",Exhibition catalogs ,"Nadar  whose real name was Felix Tournachon (1820-1910,  was a conspicuous  even astonishing presence in nineteenth-century France  Engaging and quick-witted  he invented himself over and over as a bohemian writer  a journalist  a romantic utopian  a caricaturist  a portrait photographer  a balloonist  an entrepreneur  a prophet of aeronautics  The name Nadar was on everyone\s lips  Today  it is Nadar\s photography that is remembered  His sitters  who were often his friends  included the great men and women of his time: Dumas  Rossini  Baudelaire  Sarah Bernhardt  Daumier  Berlioz  George Sand  Delacroix  Nadar\s legendary name has been attached not only to his original photographs but to reprints  copies and a great deal of studio work  For that reason  this volume exactingly reproduces some one hundred photographs from the years 1854-60  the period of his earliest and finest photography  allowing viewers to become familiar with the subtle light and balanced  velvety tones that distinguish Nadar\s original work  Accompanying the photographs are essays that shed new light on the many facets of Nadar ",32 cm,b22902090,TR681.F3 H37 1995,eng,"dsxx0,hxxx0","Celebrities -- France -- Portraits -- Exhibitions;""Portrait photography -- France -- Exhibitions"";""Nadar, Félix, 1820-1910 -- Exhibitions"""
42291078,Species concepts and phylogenetic theory,"Quentin D  Wheeler,  Rudolf Meier",2000,Columbia University Press,,,27 cm,b38631337,QH83 .S695 2000,eng,rxxx0,Species
846736955,Easy compost,"Beth Hanson,  Niall Dunne",2013,Brooklyn Botanic Garden,,Composting is green gardening at its best: it helps protect plants from diseases and pests  creates especially rich soil  and releases its nutrients slowly as plants need them  Now completely updated and redesigned  Brooklyn Botanic Gardens essential  bestselling guide contains the latest information on modern composting techniques  from what to put in the pile to how best to use your compost in the garden  An expanded resource section features special advice for urban gardeners ,23 cm.,b38631350,S661 .E27 2013,eng,rxxx0,"Compost;""Organic gardening"";""Organic fertilizers"""
881921,Morocco,"Edmondo De Amicis,  Maria Hornor Lansdale",1897,H.T. Coates &amp; Co.,,,21 cm,b15067841,DT 309 AM51,eng,"dsxx0,hxxx0",Morocco -- Description and travel
881921,Morocco,"Edmondo De Amicis,  Maria Hornor Lansdale",1897,H.T. Coates &amp; Co.,,,21 cm,b15067841,DT 309 AM51,eng,"dsxx0,hxxx0",Morocco -- Description and travel
514084,Harry Callahan,"  Harry M Callahan,  Sherman Paul",1967,Museum of Modern Art,New York (NY  1967,,23 cm.,b1287954x,TR 650 C13,eng,"dsxx0,hxxx0","Photography, Artistic"
42060352,Mirŭk kyŏngjŏn,"Mugwan ,  Chong-ik Yi",1996,Minjoksa,,,23 cm.,b38343071,BQ1613.K6 M57 1996,kor,txxx0,"Maitreya (Buddhist deity);""Mahayana Buddhism -- Sacred books -- Translations into Korean"""
23437368,Road of the tinkling bell,"Gavin Bantock,  Kyoko Oshima Bantock,  Tomihiro Hoshino",1990,Kaisei-sha Pub. Co.,Translations ,At 24  Tomihiro became a paraplegic   Forced to give up his teaching career  he become an author and painter of botanical illustrations to accompany his poetry  This is his fourth book that has been published and third to be translated into English ,26 cm,b36449192,PL852.O84 S813 1990,eng,txxx0,Japanese poetry -- Translations into English
830837557,"Run, David, run!","Steven Thatcher Mann,  David King of Israel ",2013,Eisenbrauns,,,24 cm.,b38575462,BS1325.52 .M225 2013,eng,txxx0,"David, King of Israel;""Bible. Samuel, 2nd XIV-XX -- Criticism, interpretation, etc"""
841149448,Luke-Acts and 'tragic history',DooHee Lee,2013,Mohr Siebeck,,,24 cm.,b38587130,BR2589 .L44 2013,eng,txxx0,"Bible. Luke -- Language, style;""Bible. Acts -- Language, style"";""Tragic, The, in the Bible"";""Tragedy -- History and criticism"";""Historiography -- Greece"";""Historiography -- Rome"""
841148827,Men and women in the household of God,Korinna Zamfir,2013,Vandenhoeck &amp; Ruprecht,,"Korinna Zamfir explores the manner in which the Pastoral Epistles redefine roles and ministries within a changed ecclesiological framework (the ekklesia as oikos Theou,  The contextual investigation focuses on the cultural and social background of the station codes and church orders  Applying the environmental approach advanced by Abraham Malherbe Zamfir discusses the Pastoral Epistles as writings intimately linked to their Greco-Roman social and cultural environment ",24 cm.,b38587385,BS2735.6.S37 Z36 2013,eng,txxx0,"Bible. Pastoral Epistles -- Criticism, interpretation, etc;""Sex role -- Biblical teaching"";""Servant leadership -- Biblical teaching"";""Men (Christian theology) -- Biblical teaching"";""Women -- Religious aspects -- Christianity -- Biblical teaching"""
839279132,La Vetus Syra del Vangelo di Luca,Gian Luca Carrega,2013,"G &amp; BP, Gregorian &amp; Biblical Press",,L\antica traduzione siriaca dei vangeli detta Vetus Syra riappare dopo secoli di latitanza grazie alla pubblicazione di due mss  superstiti nel XIX sec  Dopo l\iniziale entusiasmo pareva caduta di nuovo nell\oblio  fino a quando il recente interesse della critica testuale per il mondo scribale che produce i testi ha riaperto prospettive interessanti anche per lo studio della Vetus Syra  Come funziona la sintassi di una lingua semitica rispetto al greco? E\ possibile riprodurre le strutture di un\altra lingua in forma non meccanica? E\ lecito espandere il testo evangelico desumendo informazioni dal contesto? In queste pagine vengono affrontati analiticamente 300 passi del vangelo di Luca in cui la versione siriaca presenta letture che si discostano dal greco in modo significativo  Tali devianze sono state classificate secondo i processi che le hanno presumibilmente generate  cercando di stabilire quali fossero i meccanismi in atto al momento di procedere alla traduzione del testo  Alla prova dei fatti  la Vetus Syra si rivela una buona traduzione  piu\xcc\x80 preoccupata di rendere il senso del testo che non la sua letteralita\xcc\x80  Isolando i fattori che provocano la maggior parte delle varianti  tra i quali l\assimilazione interna e sinottica  si e\xcc\x80\xcc\x80 in grado di individuare alcuni fattori ermeneutici che sono stati significativi per i traduttori: il confronto con le scuole esegetiche del tempo  l\accentuazione della centralita\xcc\x80 della figura di Cristo  la ridefinizione di alcuni personaggi minori che assumono valore paradigmatico per i credenti  ecc --Publisher description ,21 cm.,b38587087,BS2595.52 .C37 2013,ita,txxx0,"Bible. Luke -- Criticism, Textual;""Bible. Luke -- Criticism, interpretation, etc"";""Bible. New Testament. Syriac -- Versions"";""Vetus Syra"""
840391345,The rise and expansion of Christianity in the first three centuries of the Common Era,"  Jens Schro\\xcc\\x88ter,  Clare K  Rothschild",2013,Mohr Siebeck,,,24 cm.,b38587129,BR165 .R57 2013,eng,txxx0,"Church history -- Primitive and early church, ca. 30-600;""Christianity -- Rome"""
839245840,Annahme Christi und Gottesschau,"  Jesus Christ,  Babai the Great ,  Till Engelmann",2013,Harrassowitz Verlag,,,25 cm.,b38587403,BT198 .E55 2013,ger,txxx0,"Babai, the Great, approximately 551-628;""Jesus Christ -- History of doctrines -- Early Church, ca. 300-600"""
18459389,Parallels &amp; contrasts,"  White  Stephen ,  Stephen White,  Nancy Barrett",1990,University of New Mexico Press,Exhibition catalogs   Catalogs ,,23 x 28 cm,b13782812,TR 650 P272 1988X,eng,"dsxx0,hxxx0","White, Stephen -- Photograph collections -- Exhibitions;""Photography, Artistic -- Exhibitions"";""Photograph collections -- California -- Los Angeles -- Exhibitions"""
22983862,Looking at photographs,Gordon Baldwin,1991,J. Paul Getty Museum in association with British Museum Press,Terminology ,Explains and illustrates photographic terms  The book sets out and defines the vocabulary of photography from its earliest processes through to the age of the analogue camera ,23 cm,b19130892,TR9 .B35 1991,eng,"dsxx0,hxxx0,hsxx0",Photography -- Terminology
562471289,Native Trees of Canada ... Fourth edition. (With notes on nomenclature and utilization by R.G. Lewis.).,"Boyd Rutherford MORTON,  Richard Garwood LEWIS",1949,,,,8°.,b38631386,QK 485 .N36 1949,und,rxxx0,
227536326,Status survey of the grass tribe Orcuttieae and Chamaesyce hooveri (Euphorbiaceae) in the Central Valley of California,R  Douglas Stone,1988,,,,28 cm,b38631398,PR 3 .S7 1988,eng,rxxx0,"BioSystems Analysis, Inc. Prepared for: Office of Endangered Species"
552424,Manual of the trees of North America (exclusive of Mexico,Charles Sprague Sargent,1965,Dover Publications,,,21 cm,b38631441,QK481 .S21 1965,eng,rxxx0,Trees -- North America
552424,Manual of the trees of North America (exclusive of Mexico,Charles Sprague Sargent,1965,Dover Publications,,,21 cm,b38631441,QK481 .S21 1965,eng,rxxx0,Trees -- North America
822330002,Birds,"  Margaret Atwood,  Jerry Kelly,  Sullivan  Billy ,  Billy Sullivan",2012,Glenn Horowitz Bookseller,Exhibition catalogs   Pictorial works ,,23 cm,b38631507,N6537.S84 A4 2012,eng,hsxx0,"Sullivan, Billy, 1946- -- Exhibitions;""Birds"";""Birds -- Pictorial works"";""Birds -- Exhibitions"""
768490804,Virginia Woolf,"Beekman  William,  David Levinthal,  ,  Woolf  Leonard ,  Jerry Kelly,  Woolf  Virginia ",2011,Glenn Horowitz Bookseller,"Limitation statements (Printing,  Catalogs ",,14 x 22 cm,b38631519,Z997 .B44 2011,eng,hsxx0,"Beekman, William -- Library -- Catalogs;""Woolf, Virginia, 1882-1941 -- Catalogs"";""Woolf, Leonard, 1880-1969 -- Catalogs"";""Bloomsbury group -- Catalogs"";""Booksellers' catalogs -- New York (State) -- New York"""
34957486,Ways of seeing/exhibiting American Indian Art,Kay Koeninger,1994,Pomona College?,Exhibition catalogs   History ,,28 cm,b24211825,XP17.1 .W397 1994,eng,hsxx0,"Indian art -- North America -- Exhibitions;""Pomona College (Claremont, Calif.) -- Exhibitions"""
31347943,Deutschland,"Friedrich Nowottny,  Anke Wacker",1991,Naumann &amp; Göbel,Pictorial works ,,29 cm,b38631520,DD237 .W33 1991,ger,hsxx0,Germany -- Pictorial works
808397842,San Marino,Elizabeth W Pomeroy,2012,San Marino Historical Society,Pictorial works   History ,,31 cm,b38631532,F869.S3974 P66 2012,eng,hsxx0,"San Marino (Calif.) -- History;""San Marino (Calif.) -- History -- Pictorial works"";""San Marino (Calif.) -- Centennial celebrations, etc"";""San Marino (Calif.) -- Economic conditions"""
41643683,Levee System Integrity Program plan,,1999,CALFED Bay-Delta Program,,,28 cm,b38631568,TC533 .C351 1999,eng,hsxx0,"CALFED Bay-Delta Program;""Levees -- California -- Delta Region"";""Levees -- California -- San Francisco Bay"";""Emergency management -- California -- Delta Region"";""Emergency management -- California -- San Francisco Bay"";""San Francisco Bay (Calif.)"";""Delta Region (Calif.)"";""Environmental impact statements -- California -- Delta Region"";""Environmental impact statements -- California -- San Francisco Bay"""
41892602,Elements of geometry.,"Bruce Rogers,  Euclid ,  Paul Vale\\xcc\\x81ry",1944,Random House,,,23 cm,b3863160x,QA31 .E8753 1944,eng,hsxx0,Geometry
